Vendedor,País,Produto,Data,Valor,Caixas Enviadas
Rafaelita Blaksland,Índia,Barras Finas Picantes,04/01/2024,"$ 8.972,79",134
Ches Bonnell,Austrália,Chocolate de Menta com Flocos,21/02/2024,"$ 3.701,79",33
Karlen McCaffrey,Austrália,Chocolate Branco,05/01/2024,"$ 8.857,15",50
Beverie Moffet,Índia,Chocolate para Beber,15/07/2024,"$ 6.756,17",45
Brien Boise,Austrália,Amêndoas Cobertas com Chocolate,25/05/2024,"$ 5.532,85",63
Karlen McCaffrey,Canadá,Eclairs,20/04/2024,"$ 3.713,66",352
Gigi Bohling,EUA,99% Cacau Puro,02/06/2024,"$ 317,40",86
Marney O'Breen,Reino Unido,Chocolate Salgado Suave,13/05/2024,"$ 22.558,88",84
Beverie Moffet,Nova Zelândia,Gotas de Chocolate Culinário,03/08/2024,"$ 1.517,05",147
Beverie Moffet,Austrália,Barras de Chocolate ao Leite,25/05/2024,"$ 770,45",389
Van Tuxwell,Reino Unido,Chocolate de Framboesa,16/03/2024,"$ 7.623,35",80
Jan Morforth,Austrália,Chocolate de Laranja,04/07/2024,"$ 3.418,05",117
Jehu Rudeforth,Índia,Pedacinhos 50% Cacau,05/07/2024,"$ 4.055,71",137
Madelene Upcott,EUA,Chocolate de Menta (After Nines),15/03/2024,"$ 5.432,84",450
Barr Faughny,Reino Unido,Chocolate de Framboesa,22/08/2024,"$ 6.016,80",71
Ches Bonnell,Austrália,Pedacinhos 70% Cacau,12/01/2024,"$ 3.609,76",122
Marney O'Breen,Reino Unido,Gotas de Chocolate Culinário,10/06/2024,"$ 302,25",154
Kaine Padly,Austrália,Cubos de Manteiga de Amendoim,25/03/2024,"$ 6.062,87",290
Rafaelita Blaksland,Índia,Chocolate com Amêndoas,27/07/2024,"$ 3.589,91",106
Husein Augar,Reino Unido,Barras Recheadas com Caramelo,15/04/2024,"$ 16.457,28",442
Roddy Speechley,Índia,Chocolate de Laranja,27/06/2024,"$ 4.813,53",19
Jehu Rudeforth,Reino Unido,Pedacinhos 70% Cacau,14/04/2024,"$ 5.819,17",270
Husein Augar,Austrália,Chocolate com Mel de Manuka,15/03/2024,"$ 7.824,91",100
Madelene Upcott,EUA,Eclairs,18/03/2024,"$ 9.446,67",193
Brien Boise,Índia,Eclairs,29/04/2024,"$ 1.447,58",67
Mallorie Waber,Nova Zelândia,Chocolate Branco,25/02/2024,"$ 3.356,27",238
Husein Augar,EUA,Barras de Chocolate ao Leite,02/03/2024,"$ 1.031,25",55
Van Tuxwell,Austrália,Barras de Chocolate ao Leite,20/06/2024,"$ 9.471,51",95
Beverie Moffet,Canadá,Chocolate Branco,15/07/2024,"$ 10.573,29",179
Dotty Strutley,Austrália,Pedacinhos 50% Cacau,12/05/2024,"$ 3.321,90",247
Mallorie Waber,Nova Zelândia,Calda de Chocolate Orgânica,01/07/2024,"$ 5.318,00",281
Husein Augar,EUA,Barras 85% Cacau,08/08/2024,"$ 145,48",20
Madelene Upcott,Austrália,Pedacinhos 50% Cacau,25/07/2024,"$ 8.295,88",6
Wilone O'Kielt,Reino Unido,Chocolate para Beber,18/05/2024,"$ 3.857,25",54
Camilla Castle,Índia,Cubos de Manteiga de Amendoim,15/07/2024,"$ 14.102,83",291
Curtice Advani,Índia,Pedacinhos 70% Cacau,05/07/2024,"$ 2.453,44",43
Mallorie Waber,EUA,Chocolate com Mel de Manuka,04/07/2024,"$ 5.910,67",100
Dotty Strutley,Reino Unido,Pedacinhos 70% Cacau,20/06/2024,"$ 1.515,42",230
Gunar Cockshoot,Austrália,Chocolate com Amêndoas,25/01/2024,"$ 4.498,05",464
Kaine Padly,Nova Zelândia,Barras Finas Picantes,01/07/2024,"$ 8.755,31",38
Gigi Bohling,EUA,Pedacinhos 50% Cacau,13/04/2024,"$ 2.651,48",60
Beverie Moffet,Reino Unido,Chocolate Salgado Suave,04/05/2024,"$ 5.119,35",77
Beverie Moffet,Austrália,Gotas de Chocolate Culinário,04/08/2024,"$ 3.360,74",119
Beverie Moffet,Índia,Pedacinhos 70% Cacau,01/06/2024,"$ 495,65",146
Jehu Rudeforth,Reino Unido,Amêndoas Cobertas com Chocolate,22/04/2024,"$ 5.108,85",187
Kaine Padly,EUA,Pedacinhos 50% Cacau,03/08/2024,"$ 77,10",26
Ches Bonnell,EUA,Chocolate de Laranja,10/06/2024,"$ 1.860,29",71
Gunar Cockshoot,Reino Unido,Chocolate com Mel de Manuka,27/06/2024,"$ 7.917,76",50
Marney O'Breen,Austrália,Chocolate Salgado Suave,03/01/2024,"$ 4.059,92",179
Marney O'Breen,Índia,Chocolate de Menta (After Nines),11/07/2024,"$ 2.816,85",188
Ches Bonnell,Nova Zelândia,Barras de Chocolate ao Leite,17/08/2024,"$ 5.306,48",128
Rafaelita Blaksland,EUA,Barras de Frutas e Castanhas,18/01/2024,"$ 2.756,63",66
Ches Bonnell,Índia,Calda de Chocolate Orgânica,08/03/2024,"$ 17.903,70",107
Mallorie Waber,Austrália,Chocolate de Laranja,07/03/2024,"$ 15.825,08",284
Husein Augar,Índia,Pedacinhos 70% Cacau,09/05/2024,"$ 7.745,33",164
Barr Faughny,Nova Zelândia,Barras 85% Cacau,23/05/2024,"$ 775,22",56
Madelene Upcott,Reino Unido,Barras Recheadas com Caramelo,15/04/2024,"$ 190,24",156
Gigi Bohling,Austrália,Chocolate para Beber,27/07/2024,"$ 2.960,00",141
Marney O'Breen,Canadá,Amêndoas Cobertas com Chocolate,22/08/2024,"$ 2.937,62",389
Ches Bonnell,EUA,Pedacinhos 70% Cacau,11/05/2024,"$ 4.778,36",124
Madelene Upcott,Índia,Calda de Chocolate Orgânica,26/01/2024,"$ 5.401,01",41
Barr Faughny,EUA,Pedacinhos 50% Cacau,14/04/2024,"$ 15.372,94",124
Dennison Crosswaite,Nova Zelândia,Chocolate de Menta com Flocos,05/04/2024,"$ 2.492,36",151
Marney O'Breen,Nova Zelândia,Chocolate Salgado Suave,14/06/2024,"$ 9.057,64",56
Brien Boise,Canadá,Chocolate com Amêndoas,13/04/2024,"$ 5.439,43",125
Beverie Moffet,Austrália,Chocolate Branco,27/06/2024,"$ 2.659,78",178
Dotty Strutley,Austrália,Eclairs,26/01/2024,"$ 7.897,59",3
Barr Faughny,Reino Unido,Chocolate Branco,05/07/2024,"$ 1.959,22",70
Beverie Moffet,Canadá,Gotas de Chocolate Culinário,11/01/2024,"$ 15.305,32",91
Kelci Walkden,EUA,Chocolate Branco,07/03/2024,"$ 11.257,11",21
Kaine Padly,Canadá,Pedacinhos 50% Cacau,04/03/2024,"$ 9.207,09",109
Karlen McCaffrey,Canadá,Calda de Chocolate Orgânica,15/07/2024,"$ 2.769,94",302
Kaine Padly,Reino Unido,Cubos de Manteiga de Amendoim,11/05/2024,"$ 7.477,56",85
Karlen McCaffrey,EUA,Barras de Chocolate ao Leite,27/01/2024,"$ 5.231,54",8
Karlen McCaffrey,Índia,Chocolate de Laranja,27/06/2024,"$ 3.745,21",161
Ches Bonnell,Índia,Chocolate Salgado Suave,03/08/2024,"$ 8.503,93",19
Wilone O'Kielt,Nova Zelândia,Chocolate de Menta com Flocos,19/08/2024,"$ 4.383,50",87
Wilone O'Kielt,Austrália,Barras de Frutas e Castanhas,15/06/2024,"$ 472,27",101
Dennison Crosswaite,Reino Unido,Cubos de Manteiga de Amendoim,07/02/2024,"$ 9.771,87",158
Karlen McCaffrey,Austrália,Chocolate com Amêndoas,08/07/2024,"$ 8.130,06",140
Dennison Crosswaite,Índia,Barras de Chocolate ao Leite,21/04/2024,"$ 1.624,06",96
Ches Bonnell,Reino Unido,Chocolate de Menta com Flocos,08/04/2024,"$ 1.044,54",74
Husein Augar,Austrália,Pedacinhos 50% Cacau,19/08/2024,"$ 15.593,50",56
Jan Morforth,Índia,Barras de Frutas e Castanhas,04/05/2024,"$ 3.387,76",60
Mallorie Waber,EUA,Barras 85% Cacau,11/05/2024,"$ 996,51",40
Mallorie Waber,EUA,Eclairs,22/03/2024,"$ 7.511,77",49
Dennison Crosswaite,Canadá,Barras Finas Picantes,10/08/2024,"$ 2.711,58",216
Dennison Crosswaite,EUA,Barras de Frutas e Castanhas,04/05/2024,"$ 1.673,44",314
Kelci Walkden,EUA,99% Cacau Puro,18/08/2024,"$ 3.098,61",91
Dotty Strutley,Canadá,Chocolate de Framboesa,03/08/2024,"$ 4.722,39",258
Marney O'Breen,Nova Zelândia,Barras de Chocolate ao Leite,14/01/2024,"$ 8.408,12",318
Madelene Upcott,Austrália,Amêndoas Cobertas com Chocolate,08/04/2024,"$ 2.442,36",78
Kelci Walkden,Reino Unido,Chocolate de Laranja,01/08/2024,"$ 4.010,08",3
Dennison Crosswaite,Canadá,Eclairs,15/03/2024,"$ 492,21",45
Karlen McCaffrey,Índia,Chocolate de Menta com Flocos,15/07/2024,"$ 4.077,81",67
Barr Faughny,Nova Zelândia,Chocolate com Amêndoas,13/01/2024,"$ 6.426,04",132
Mallorie Waber,Austrália,Barras 85% Cacau,26/08/2024,"$ 932,85",18
Ches Bonnell,Canadá,Eclairs,10/01/2024,"$ 2.048,58",170
Gigi Bohling,Austrália,Chocolate Branco,11/05/2024,"$ 6.267,19",83
Beverie Moffet,Nova Zelândia,Barras 85% Cacau,30/08/2024,"$ 4.510,19",7
Kaine Padly,EUA,Barras Recheadas com Caramelo,21/07/2024,"$ 6.143,64",117
Mallorie Waber,Austrália,Chocolate com Amêndoas,01/08/2024,"$ 8.273,83",130
Brien Boise,Canadá,Barras 85% Cacau,17/02/2024,"$ 4.257,26",92
Brien Boise,Austrália,Chocolate para Beber,27/07/2024,"$ 7.192,41",159
Dotty Strutley,EUA,Chocolate de Laranja,23/02/2024,"$ 1.452,94",112
Rafaelita Blaksland,Austrália,Pedacinhos 50% Cacau,22/03/2024,"$ 3.375,83",41
Dennison Crosswaite,Índia,99% Cacau Puro,23/06/2024,"$ 2.915,08",114
Curtice Advani,Reino Unido,Chocolate Branco,01/02/2024,"$ 1.634,54",70
Kelci Walkden,Austrália,Chocolate de Menta (After Nines),02/03/2024,"$ 8.265,41",298
Gigi Bohling,Reino Unido,Barras de Frutas e Castanhas,06/04/2024,"$ 1.448,10",92
Gunar Cockshoot,Austrália,Chocolate de Framboesa,17/03/2024,"$ 709,53",77
Curtice Advani,Reino Unido,Barras de Frutas e Castanhas,24/06/2024,"$ 12.197,19",135
Barr Faughny,Canadá,Pedacinhos 50% Cacau,19/07/2024,"$ 10.917,59",302
Curtice Advani,EUA,Barras Finas Picantes,11/07/2024,"$ 1.679,89",287
Brien Boise,Índia,Chocolate com Amêndoas,13/01/2024,"$ 2.303,17",225
Oby Sorrel,Nova Zelândia,Chocolate Salgado Suave,07/07/2024,"$ 9.261,26",65
Jan Morforth,Índia,Barras 85% Cacau,25/05/2024,"$ 1.838,48",145
Marney O'Breen,Índia,Barras de Frutas e Castanhas,13/04/2024,"$ 5.385,55",161
Andria Kimpton,Nova Zelândia,Pedacinhos 50% Cacau,02/03/2024,"$ 3.741,19",222
Gunar Cockshoot,Canadá,Chocolate de Framboesa,23/06/2024,"$ 2.223,49",127
Kelci Walkden,EUA,Chocolate para Beber,26/07/2024,"$ 7.720,37",156
Van Tuxwell,Canadá,Chocolate Branco,22/03/2024,"$ 468,09",3
Rafaelita Blaksland,EUA,Gotas de Chocolate Culinário,09/06/2024,"$ 3.083,39",55
Van Tuxwell,Austrália,Barras Recheadas com Caramelo,17/05/2024,"$ 6.898,94",58
Ches Bonnell,Nova Zelândia,Cubos de Manteiga de Amendoim,04/03/2024,"$ 1.036,05",291
Kelci Walkden,Canadá,Barras de Chocolate ao Leite,07/07/2024,"$ 17.518,04",28
Dennison Crosswaite,Canadá,Amêndoas Cobertas com Chocolate,13/01/2024,"$ 11.691,86",128
Curtice Advani,Austrália,Chocolate com Amêndoas,13/07/2024,"$ 3.136,53",74
Madelene Upcott,Austrália,Barras 85% Cacau,16/06/2024,"$ 587,20",113
Gigi Bohling,Reino Unido,Pedacinhos 50% Cacau,18/07/2024,"$ 8.937,37",66
Ches Bonnell,Reino Unido,Chocolate com Mel de Manuka,30/05/2024,"$ 4.761,38",406
Gigi Bohling,Reino Unido,Pedacinhos 70% Cacau,21/06/2024,"$ 942,02",84
Jehu Rudeforth,Austrália,Cubos de Manteiga de Amendoim,24/06/2024,"$ 6.623,03",39
Marney O'Breen,Índia,Eclairs,13/01/2024,"$ 4.067,36",94
Curtice Advani,Canadá,Barras de Frutas e Castanhas,04/04/2024,"$ 4.712,55",211
Kaine Padly,Reino Unido,Chocolate Salgado Suave,08/06/2024,"$ 9.571,30",594
Karlen McCaffrey,Canadá,Barras Finas Picantes,02/08/2024,"$ 6.779,99",46
Kelci Walkden,EUA,Calda de Chocolate Orgânica,21/07/2024,"$ 10.772,46",150
Curtice Advani,Índia,Barras Finas Picantes,20/06/2024,"$ 189,34",140
Roddy Speechley,Índia,Chocolate de Menta (After Nines),22/06/2024,"$ 3.015,47",115
Camilla Castle,Austrália,Barras Recheadas com Caramelo,02/05/2024,"$ 3.538,27",16
Curtice Advani,Austrália,99% Cacau Puro,07/01/2024,"$ 1.818,94",30
Mallorie Waber,Reino Unido,Pedacinhos 50% Cacau,21/02/2024,"$ 6.654,14",102
Ches Bonnell,Canadá,Gotas de Chocolate Culinário,21/03/2024,"$ 8.639,19",402
Van Tuxwell,Reino Unido,Chocolate para Beber,04/04/2024,"$ 6.397,05",136
Gunar Cockshoot,Canadá,Barras de Frutas e Castanhas,24/03/2024,"$ 14.596,37",196
Gunar Cockshoot,Nova Zelândia,Barras Finas Picantes,28/06/2024,"$ 7.712,91",192
Gunar Cockshoot,Austrália,Chocolate para Beber,14/01/2024,"$ 2.456,77",188
Karlen McCaffrey,Nova Zelândia,Barras de Frutas e Castanhas,07/02/2024,"$ 1.435,27",138
Dennison Crosswaite,Nova Zelândia,Chocolate para Beber,11/01/2024,"$ 4.324,48",202
Jehu Rudeforth,Índia,99% Cacau Puro,25/02/2024,"$ 772,72",86
Dotty Strutley,Austrália,Chocolate de Menta com Flocos,01/08/2024,"$ 2.650,03",9
Roddy Speechley,Austrália,Chocolate de Menta com Flocos,05/05/2024,"$ 2.516,42",91
Madelene Upcott,Nova Zelândia,Chocolate de Framboesa,18/05/2024,"$ 10.858,21",451
Dotty Strutley,Nova Zelândia,Amêndoas Cobertas com Chocolate,04/01/2024,"$ 6.524,65",369
Roddy Speechley,Nova Zelândia,Pedacinhos 50% Cacau,09/05/2024,"$ 4.624,45",212
Rafaelita Blaksland,Índia,Chocolate Salgado Suave,06/05/2024,"$ 1.961,82",80
Husein Augar,Reino Unido,Chocolate Branco,13/01/2024,"$ 12.782,63",158
Roddy Speechley,Austrália,Chocolate com Amêndoas,24/06/2024,"$ 4.928,30",71
Van Tuxwell,EUA,Barras Recheadas com Caramelo,14/02/2024,"$ 1.115,84",22
Camilla Castle,Austrália,99% Cacau Puro,18/01/2024,"$ 1.871,32",38
Kaine Padly,Índia,Barras de Chocolate ao Leite,02/05/2024,"$ 3.168,11",93
Ches Bonnell,Austrália,Chocolate Salgado Suave,16/05/2024,"$ 9.007,92",52
Mallorie Waber,EUA,Chocolate com Amêndoas,28/01/2024,"$ 7.400,07",383
Kaine Padly,Canadá,99% Cacau Puro,24/06/2024,"$ 497,08",147
Oby Sorrel,Reino Unido,Chocolate de Menta (After Nines),18/07/2024,"$ 2.555,95",109
Gunar Cockshoot,Reino Unido,Eclairs,13/04/2024,"$ 4.059,65",175
Dotty Strutley,EUA,Barras Recheadas com Caramelo,15/04/2024,"$ 18.581,37",83
Jan Morforth,Índia,Cubos de Manteiga de Amendoim,04/01/2024,"$ 8.813,58",182
Husein Augar,Austrália,Eclairs,04/07/2024,"$ 7.914,74",31
Beverie Moffet,EUA,Chocolate Salgado Suave,24/03/2024,"$ 2.787,72",342
Camilla Castle,Austrália,Chocolate com Mel de Manuka,17/03/2024,"$ 681,71",170
Oby Sorrel,Austrália,Chocolate com Amêndoas,15/02/2024,"$ 6.827,53",241
Jan Morforth,EUA,Chocolate de Laranja,29/06/2024,"$ 1.082,00",158
Gigi Bohling,EUA,Barras de Frutas e Castanhas,24/05/2024,"$ 2.966,98",121
Mallorie Waber,Reino Unido,Barras de Chocolate ao Leite,10/01/2024,"$ 3.951,74",287
Curtice Advani,EUA,Chocolate de Framboesa,15/03/2024,"$ 3.151,23",144
Marney O'Breen,Canadá,Barras de Chocolate ao Leite,08/02/2024,"$ 2.672,67",317
Brien Boise,Índia,Barras Recheadas com Caramelo,25/02/2024,"$ 1.742,37",106
Gunar Cockshoot,EUA,Eclairs,03/05/2024,"$ 7.301,31",42
Roddy Speechley,EUA,Barras de Frutas e Castanhas,14/06/2024,"$ 6.322,14",26
Gunar Cockshoot,Índia,Pedacinhos 50% Cacau,09/08/2024,"$ 13.731,44",82
Wilone O'Kielt,Nova Zelândia,Chocolate com Mel de Manuka,11/07/2024,"$ 4.051,88",253
Kaine Padly,Reino Unido,Chocolate com Mel de Manuka,14/01/2024,"$ 8.474,69",115
Van Tuxwell,Canadá,Chocolate com Mel de Manuka,24/02/2024,"$ 9.426,56",49
Wilone O'Kielt,Nova Zelândia,Chocolate com Amêndoas,15/03/2024,"$ 9.770,28",154
Oby Sorrel,Nova Zelândia,Gotas de Chocolate Culinário,25/04/2024,"$ 14.234,61",45
Dennison Crosswaite,Austrália,Calda de Chocolate Orgânica,10/05/2024,"$ 6.885,01",40
Marney O'Breen,Austrália,Barras Finas Picantes,23/06/2024,"$ 14.687,62",293
Beverie Moffet,Canadá,Chocolate Salgado Suave,28/02/2024,"$ 16.585,43",388
Brien Boise,EUA,Calda de Chocolate Orgânica,25/05/2024,"$ 17.415,67",148
Roddy Speechley,Nova Zelândia,Gotas de Chocolate Culinário,22/02/2024,"$ 5.954,47",236
Van Tuxwell,Reino Unido,Barras 85% Cacau,11/07/2024,"$ 1.462,97",49
Marney O'Breen,Canadá,Barras Finas Picantes,03/01/2024,"$ 3.939,95",365
Rafaelita Blaksland,Nova Zelândia,Pedacinhos 70% Cacau,24/08/2024,"$ 791,19",280
Beverie Moffet,EUA,Pedacinhos 50% Cacau,28/07/2024,"$ 2.941,65",360
Brien Boise,EUA,Chocolate de Menta com Flocos,25/05/2024,"$ 4.366,84",56
Karlen McCaffrey,Nova Zelândia,Eclairs,06/05/2024,"$ 2.817,14",191
Barr Faughny,Índia,Chocolate para Beber,28/01/2024,"$ 2.411,52",144
Marney O'Breen,Reino Unido,Chocolate de Laranja,06/06/2024,"$ 13.072,74",11
Brien Boise,Nova Zelândia,Gotas de Chocolate Culinário,12/07/2024,"$ 6.790,41",26
Ches Bonnell,Canadá,Barras Finas Picantes,05/08/2024,"$ 6.092,47",201
Brien Boise,EUA,Chocolate de Laranja,28/01/2024,"$ 7.185,50",152
Kaine Padly,Índia,Barras Finas Picantes,31/08/2024,"$ 6.170,80",138
Mallorie Waber,EUA,Pedacinhos 50% Cacau,19/04/2024,"$ 1.945,05",14
Mallorie Waber,Reino Unido,Chocolate de Menta com Flocos,29/06/2024,"$ 2.368,60",0
Beverie Moffet,Índia,Amêndoas Cobertas com Chocolate,24/02/2024,"$ 3.911,69",254
Madelene Upcott,Reino Unido,Chocolate Salgado Suave,04/03/2024,"$ 16.733,76",88
Gigi Bohling,Índia,Eclairs,21/06/2024,"$ 3.916,92",74
Rafaelita Blaksland,Austrália,Calda de Chocolate Orgânica,26/01/2024,"$ 1.082,69",106
Oby Sorrel,Nova Zelândia,Chocolate Branco,10/06/2024,"$ 4.822,33",42
Andria Kimpton,Reino Unido,Chocolate para Beber,23/05/2024,"$ 1.827,45",66
Kelci Walkden,Índia,Barras de Chocolate ao Leite,15/04/2024,"$ 1.142,41",111
Karlen McCaffrey,Nova Zelândia,Barras Recheadas com Caramelo,31/01/2024,"$ 6.290,89",232
Andria Kimpton,Nova Zelândia,Calda de Chocolate Orgânica,04/03/2024,"$ 5.616,01",43
Barr Faughny,Nova Zelândia,Chocolate de Menta (After Nines),19/04/2024,"$ 11.250,69",91
Beverie Moffet,Reino Unido,Chocolate com Amêndoas,16/05/2024,"$ 2.799,42",104
Oby Sorrel,Austrália,Chocolate de Framboesa,17/02/2024,"$ 1.157,88",114
Dennison Crosswaite,EUA,Chocolate de Framboesa,18/01/2024,"$ 7.049,32",273
Roddy Speechley,Canadá,Chocolate de Laranja,09/02/2024,"$ 9.460,50",84
Mallorie Waber,Canadá,Chocolate de Laranja,23/03/2024,"$ 4.173,73",175
Madelene Upcott,Nova Zelândia,Barras Recheadas com Caramelo,01/02/2024,"$ 4.005,08",150
Mallorie Waber,Índia,Chocolate para Beber,07/03/2024,"$ 4.650,58",143
Ches Bonnell,Reino Unido,Chocolate Branco,03/01/2024,"$ 3.814,56",220
Ches Bonnell,EUA,Chocolate Branco,11/02/2024,"$ 6.321,35",325
Dennison Crosswaite,Nova Zelândia,Chocolate de Laranja,16/03/2024,"$ 5.245,53",144
Dotty Strutley,Índia,Chocolate Branco,15/08/2024,"$ 12.998,67",317
Gigi Bohling,Índia,Chocolate com Mel de Manuka,12/05/2024,"$ 5.932,12",79
Van Tuxwell,Índia,Barras Finas Picantes,11/04/2024,"$ 6.811,55",4
Jan Morforth,Nova Zelândia,Chocolate de Menta com Flocos,30/06/2024,"$ 7.483,40",108
Dotty Strutley,Nova Zelândia,Chocolate Branco,15/06/2024,"$ 8.423,36",63
Rafaelita Blaksland,Canadá,Barras Recheadas com Caramelo,01/08/2024,"$ 7.951,43",109
Kaine Padly,EUA,Barras de Chocolate ao Leite,15/06/2024,"$ 18.389,10",62
Brien Boise,Índia,Chocolate de Menta (After Nines),16/06/2024,"$ 6.555,46",45
Oby Sorrel,Nova Zelândia,Chocolate de Framboesa,13/05/2024,"$ 5.129,71",270
Dennison Crosswaite,EUA,Chocolate para Beber,10/05/2024,"$ 2.399,02",149
Oby Sorrel,Índia,Eclairs,25/08/2024,"$ 6.096,53",344
Ches Bonnell,Nova Zelândia,Calda de Chocolate Orgânica,15/07/2024,"$ 8.134,67",83
Gigi Bohling,Reino Unido,Gotas de Chocolate Culinário,16/05/2024,"$ 9.969,65",449
Jan Morforth,Austrália,Pedacinhos 50% Cacau,14/06/2024,"$ 3.894,16",173
Beverie Moffet,Austrália,Chocolate Salgado Suave,25/01/2024,"$ 11.533,35",491
Ches Bonnell,EUA,Calda de Chocolate Orgânica,28/07/2024,"$ 8.754,31",14
Brien Boise,Canadá,Chocolate de Menta com Flocos,28/01/2024,"$ 1.916,48",67
Kaine Padly,Reino Unido,Chocolate de Laranja,29/06/2024,"$ 2.252,94",196
Karlen McCaffrey,Austrália,Pedacinhos 70% Cacau,24/06/2024,"$ 278,78",332
Gunar Cockshoot,Canadá,Chocolate de Menta com Flocos,01/07/2024,"$ 3.127,92",154
Roddy Speechley,EUA,Cubos de Manteiga de Amendoim,25/02/2024,"$ 2.010,22",144
Curtice Advani,Canadá,Chocolate Salgado Suave,01/08/2024,"$ 2.901,91",12
Oby Sorrel,Austrália,Barras de Chocolate ao Leite,21/06/2024,"$ 9.231,31",278
Camilla Castle,Nova Zelândia,Barras Finas Picantes,25/01/2024,"$ 12.744,67",26
Gigi Bohling,Reino Unido,Barras de Chocolate ao Leite,17/05/2024,"$ 1.436,97",248
Andria Kimpton,Austrália,Barras 85% Cacau,23/08/2024,"$ 1.715,11",88
Camilla Castle,Austrália,Chocolate Salgado Suave,03/03/2024,"$ 8.263,11",129
Roddy Speechley,Índia,Barras Recheadas com Caramelo,30/05/2024,"$ 10.139,68",552
Karlen McCaffrey,EUA,Chocolate para Beber,29/06/2024,"$ 132,68",243
Andria Kimpton,Canadá,Calda de Chocolate Orgânica,04/01/2024,"$ 9.479,63",217
Jehu Rudeforth,Austrália,Chocolate para Beber,14/01/2024,"$ 3.114,84",65
Karlen McCaffrey,EUA,Chocolate de Menta com Flocos,15/02/2024,"$ 6.253,27",20
Curtice Advani,Nova Zelândia,Barras Finas Picantes,10/01/2024,"$ 4.651,03",494
Madelene Upcott,EUA,Chocolate Branco,04/05/2024,"$ 14.360,42",218
Andria Kimpton,EUA,Barras Finas Picantes,23/05/2024,"$ 2.595,52",5
Barr Faughny,Nova Zelândia,Barras de Frutas e Castanhas,26/04/2024,"$ 1.853,03",153
Oby Sorrel,Canadá,Calda de Chocolate Orgânica,05/07/2024,"$ 1.392,99",70
Madelene Upcott,Reino Unido,Calda de Chocolate Orgânica,21/07/2024,"$ 7.943,17",174
Dotty Strutley,EUA,Chocolate de Menta com Flocos,21/02/2024,"$ 1.943,48",95
Kelci Walkden,EUA,Chocolate de Laranja,03/02/2024,"$ 1.539,14",143
Gigi Bohling,Austrália,Barras Recheadas com Caramelo,08/07/2024,"$ 9.117,77",154
Mallorie Waber,Índia,Pedacinhos 50% Cacau,31/05/2024,"$ 631,02",140
Van Tuxwell,Nova Zelândia,Chocolate de Menta com Flocos,27/06/2024,"$ 1.570,23",36
Van Tuxwell,Índia,Pedacinhos 50% Cacau,13/05/2024,"$ 5.591,29",132
Van Tuxwell,EUA,Chocolate com Mel de Manuka,31/05/2024,"$ 2.662,54",102
Wilone O'Kielt,EUA,Chocolate de Laranja,28/02/2024,"$ 7.481,93",38
Barr Faughny,Nova Zelândia,Eclairs,28/03/2024,"$ 7.418,41",31
Gigi Bohling,EUA,Chocolate de Menta (After Nines),14/01/2024,"$ 1.969,06",235
Barr Faughny,Nova Zelândia,Chocolate de Menta com Flocos,21/02/2024,"$ 2.519,21",55
Dennison Crosswaite,Canadá,Barras 85% Cacau,01/08/2024,"$ 4.101,67",30
Beverie Moffet,Nova Zelândia,Chocolate Salgado Suave,19/05/2024,"$ 2.755,14",63
Husein Augar,EUA,Chocolate Branco,13/07/2024,"$ 2.438,56",61
Andria Kimpton,Austrália,Cubos de Manteiga de Amendoim,20/04/2024,"$ 7.661,86",144
Dennison Crosswaite,Índia,Barras 85% Cacau,30/06/2024,"$ 1.710,15",8
Curtice Advani,Reino Unido,Pedacinhos 50% Cacau,08/03/2024,"$ 3.572,26",156
Gunar Cockshoot,EUA,Barras de Frutas e Castanhas,09/03/2024,"$ 6.937,75",94
Oby Sorrel,Canadá,Chocolate de Framboesa,16/06/2024,"$ 1.941,25",221
Gigi Bohling,Reino Unido,Chocolate para Beber,30/06/2024,"$ 6.173,15",46
Kelci Walkden,Índia,Chocolate de Menta com Flocos,28/07/2024,"$ 1.086,91",40
Karlen McCaffrey,Canadá,Cubos de Manteiga de Amendoim,12/08/2024,"$ 3.691,60",154
Barr Faughny,Reino Unido,Chocolate de Menta com Flocos,07/07/2024,"$ 1.382,73",113
Barr Faughny,EUA,Barras 85% Cacau,25/08/2024,"$ 4.724,01",17
Husein Augar,Canadá,Eclairs,17/01/2024,"$ 4.389,23",241
Jan Morforth,Austrália,Pedacinhos 70% Cacau,04/03/2024,"$ 6.310,98",366
Marney O'Breen,Nova Zelândia,Barras de Frutas e Castanhas,25/08/2024,"$ 9.693,37",4
Ches Bonnell,Reino Unido,Cubos de Manteiga de Amendoim,15/04/2024,"$ 2.348,20",266
Kaine Padly,EUA,Calda de Chocolate Orgânica,11/03/2024,"$ 2.518,50",24
Camilla Castle,EUA,Chocolate de Framboesa,20/05/2024,"$ 3.516,72",17
Brien Boise,Nova Zelândia,Chocolate com Mel de Manuka,14/06/2024,"$ 16.807,37",44
Jehu Rudeforth,Nova Zelândia,Chocolate de Menta (After Nines),14/04/2024,"$ 1.736,59",70
Jehu Rudeforth,EUA,Chocolate Salgado Suave,07/07/2024,"$ 7.900,11",168
Madelene Upcott,Índia,Chocolate de Menta com Flocos,24/08/2024,"$ 1.405,91",24
Jehu Rudeforth,Índia,Eclairs,24/02/2024,"$ 9.642,62",140
Karlen McCaffrey,Canadá,Chocolate de Framboesa,09/05/2024,"$ 773,70",217
